"week","n","total_state_cases","total_state_deaths","total_us_cases","total_us_deaths","cases_per_10000","cases_per_100000","deaths_per_10000","deaths_per_100000","state"
"week_1",1,224,0,45952,788,0.456339978173096,4.56339978173096,0.456339978173096,4.56339978173096,"AL"
"week_2",1,1001,10,45952,788,2.03926927746102,20.3926927746102,2.03926927746102,20.3926927746102,"AL"
"week_3",1,2079,49,45952,788,4.23540542241905,42.3540542241905,4.23540542241905,42.3540542241905,"AL"
"week_4",1,3870,99,45952,788,7.8840880157584,78.840880157584,7.8840880157584,78.840880157584,"AL"
"week_1",1,39,0,45952,788,0.531333702088005,5.31333702088005,0.531333702088005,5.31333702088005,"AK"
"week_2",1,119,3,45952,788,1.62124898842237,16.2124898842237,1.62124898842237,16.2124898842237,"AK"
"week_3",1,193,6,45952,788,2.62942062828167,26.2942062828167,2.62942062828167,26.2942062828167,"AK"
"week_4",1,281,8,45952,788,3.82832744324947,38.2832744324947,3.82832744324947,38.2832744324947,"AK"
"week_1",1,235,2,45952,788,0.318493177605078,3.18493177605078,0.318493177605078,3.18493177605078,"AZ"
"week_2",1,1157,20,45952,788,1.56807066591096,15.6807066591096,1.56807066591096,15.6807066591096,"AZ"
"week_3",1,2460,65,45952,788,3.3340136889723,33.340136889723,3.3340136889723,33.340136889723,"AZ"
"week_4",1,3705,132,45952,788,5.02134988522048,50.2134988522048,5.02134988522048,50.2134988522048,"AZ"
"week_1",1,192,0,45952,788,0.631786979857512,6.31786979857512,0.631786979857512,6.31786979857512,"AR"
"week_2",1,473,7,45952,788,1.55643354933648,15.5643354933648,1.55643354933648,15.5643354933648,"AR"
"week_3",1,875,16,45952,788,2.87923753841314,28.7923753841314,2.87923753841314,28.7923753841314,"AR"
"week_4",1,1410,29,45952,788,4.63968563332861,46.3968563332861,4.63968563332861,46.3968563332861,"AR"
"week_1",1,2073,42,45952,788,0.519061175829056,5.19061175829056,0.519061175829056,5.19061175829056,"CA"
"week_2",1,6864,149,45952,788,1.71868591938767,17.1868591938767,1.71868591938767,17.1868591938767,"CA"
"week_3",1,15900,384,45952,788,3.98122175382634,39.8122175382634,3.98122175382634,39.8122175382634,"CA"
"week_4",1,23338,711,45952,788,5.84363228244019,58.4363228244019,5.84363228244019,58.4363228244019,"CA"
"week_1",1,723,7,45952,788,1.23684335678261,12.3684335678261,1.23684335678261,12.3684335678261,"CO"
"week_2",1,2627,51,45952,788,4.49403526731384,44.9403526731384,4.49403526731384,44.9403526731384,"CO"
"week_3",1,5183,150,45952,788,8.86661012199758,88.6661012199758,8.86661012199758,88.6661012199758,"CO"
"week_4",1,7696,306,45952,788,13.1656244450884,131.656244450884,13.1656244450884,131.656244450884,"CO"
"week_1",1,415,10,45952,788,1.16472363634016,11.6472363634016,1.16472363634016,11.6472363634016,"CT"
"week_2",1,2571,36,45952,788,7.21567341935075,72.1567341935075,7.21567341935075,72.1567341935075,"CT"
"week_3",1,6906,206,45952,788,19.382123933892,193.82123933892,19.382123933892,193.82123933892,"CT"
"week_4",1,13381,602,45952,788,37.5546192237776,375.546192237776,37.5546192237776,375.546192237776,"CT"
"week_1",1,68,0,45952,788,0.691833817447438,6.91833817447438,0.691833817447438,6.91833817447438,"DE"
"week_2",1,264,0,45952,788,2.68594305597241,26.8594305597241,2.68594305597241,26.8594305597241,"DE"
"week_3",1,783,24,45952,788,7.96626292737271,79.6626292737271,7.96626292737271,79.6626292737271,"DE"
"week_4",1,1758,54,45952,788,17.8859389863617,178.859389863617,17.8859389863617,178.859389863617,"DE"
"week_1",1,120,2,45952,788,1.66507790483247,16.6507790483247,1.66507790483247,16.6507790483247,"DC"
"week_2",1,401,9,45952,788,5.56413533198184,55.6413533198184,5.56413533198184,55.6413533198184,"DC"
"week_3",1,1097,24,45952,788,15.2215871800102,152.215871800102,15.2215871800102,152.215871800102,"DC"
"week_4",1,1955,52,45952,788,27.1268941995624,271.268941995624,27.1268941995624,271.268941995624,"DC"
"week_1",1,1227,18,45952,788,0.557905168398014,5.57905168398014,0.557905168398014,5.57905168398014,"FL"
"week_2",1,5473,63,45952,788,2.48852077150964,24.8852077150964,2.48852077150964,24.8852077150964,"FL"
"week_3",1,13324,236,45952,788,6.05829540646711,60.5829540646711,6.05829540646711,60.5829540646711,"FL"
"week_4",1,21019,499,45952,788,9.55713833297299,95.5713833297299,9.55713833297299,95.5713833297299,"FL"
"week_1",1,772,25,45952,788,0.719072054279881,7.19072054279881,0.719072054279881,7.19072054279881,"GA"
"week_2",1,2808,87,45952,788,2.61548488137034,26.1548488137034,2.61548488137034,26.1548488137034,"GA"
"week_3",1,7314,229,45952,788,6.81255570596249,68.125557059625,6.81255570596249,68.125557059625,"GA"
"week_4",1,13315,465,45952,788,12.4021300553583,124.021300553583,12.4021300553583,124.021300553583,"GA"
"week_1",1,56,0,45952,788,0.39640769682173,3.9640769682173,0.39640769682173,3.9640769682173,"HI"
"week_2",1,175,0,45952,788,1.23877405256791,12.3877405256791,1.23877405256791,12.3877405256791,"HI"
"week_3",1,387,5,45952,788,2.73946033339303,27.3946033339303,2.73946033339303,27.3946033339303,"HI"
"week_4",1,504,9,45952,788,3.56766927139557,35.6766927139557,3.56766927139557,35.6766927139557,"HI"
"week_1",1,68,0,45952,788,0.372366873366788,3.72366873366788,0.372366873366788,3.72366873366788,"ID"
"week_2",1,340,6,45952,788,1.86183436683394,18.6183436683394,1.86183436683394,18.6183436683394,"ID"
"week_3",1,1101,10,45952,788,6.02905775848285,60.2905775848285,6.02905775848285,60.2905775848285,"ID"
"week_4",1,1426,27,45952,788,7.80875237383882,78.0875237383882,7.80875237383882,78.0875237383882,"ID"
"week_1",1,1285,12,45952,788,1.01503339499365,10.1503339499365,1.01503339499365,10.1503339499365,"IL"
"week_2",1,5056,73,45952,788,3.99378120240303,39.9378120240303,3.99378120240303,39.9378120240303,"IL"
"week_3",1,12262,307,45952,788,9.68586730693551,96.8586730693551,9.68586730693551,96.8586730693551,"IL"
"week_4",1,22025,798,45952,788,17.3977513811168,173.977513811168,17.3977513811168,173.977513811168,"IL"
"week_1",1,270,23,45952,788,0.400275508149758,4.00275508149758,0.400275508149758,4.00275508149758,"IN"
"week_2",1,1786,91,45952,788,2.64774836131654,26.4774836131654,2.64774836131654,26.4774836131654,"IN"
"week_3",1,4956,272,45952,788,7.34727932737111,73.4727932737111,7.34727932737111,73.4727932737111,"IN"
"week_4",1,8359,483,45952,788,12.3922332319401,123.922332319401,12.3922332319401,123.922332319401,"IN"
"week_1",1,105,0,45952,788,0.330204358760432,3.30204358760432,0.330204358760432,3.30204358760432,"IA"
"week_2",1,424,6,45952,788,1.33339664870879,13.3339664870879,1.33339664870879,13.3339664870879,"IA"
"week_3",1,946,25,45952,788,2.97498403226065,29.7498403226065,2.97498403226065,29.7498403226065,"IA"
"week_4",1,1710,41,45952,788,5.37761384266989,53.7761384266989,5.37761384266989,53.7761384266989,"IA"
"week_1",1,84,2,45952,788,0.288624385255829,2.88624385255829,0.288624385255829,2.88624385255829,"KA"
"week_2",1,372,8,45952,788,1.27819370613296,12.7819370613296,1.27819370613296,12.7819370613296,"KA"
"week_3",1,849,24,45952,788,2.9171678938357,29.171678938357,2.9171678938357,29.171678938357,"KA"
"week_4",1,1390,61,45952,788,4.7760463750667,47.760463750667,4.7760463750667,47.760463750667,"KA"
"week_1",1,123,4,45952,788,0.273352042762038,2.73352042762038,0.273352042762038,2.73352042762038,"KY"
"week_2",1,479,11,45952,788,1.06451730473997,10.6451730473997,1.06451730473997,10.6451730473997,"KY"
"week_3",1,955,45,45952,788,2.12236748648574,21.2236748648574,2.12236748648574,21.2236748648574,"KY"
"week_4",1,2018,113,45952,788,4.48475140076254,44.8475140076254,4.48475140076254,44.8475140076254,"KY"
"week_1",1,1172,35,45952,788,2.52304322067759,25.2304322067759,2.52304322067759,25.2304322067759,"LA"
"week_2",1,4025,185,45952,788,8.66488819387994,86.6488819387994,8.66488819387994,86.6488819387994,"LA"
"week_3",1,14867,512,45952,788,32.0051907524008,320.051907524008,32.0051907524008,320.051907524008,"LA"
"week_4",1,21016,884,45952,788,45.2425565919456,452.425565919456,45.2425565919456,452.425565919456,"LA"
"week_1",1,107,0,45952,788,0.79507203947124,7.9507203947124,0.79507203947124,7.9507203947124,"MA"
"week_2",1,275,3,45952,788,2.04340944723917,20.4340944723917,2.04340944723917,20.4340944723917,"MA"
"week_3",1,499,10,45952,788,3.70785932426307,37.0785932426307,3.70785932426307,37.0785932426307,"MA"
"week_4",1,698,19,45952,788,5.18654470608342,51.8654470608342,5.18654470608342,51.8654470608342,"MA"
"week_1",1,290,3,45952,788,0.476729360413314,4.76729360413314,0.476729360413314,4.76729360413314,"MD"
"week_2",1,1413,15,45952,788,2.32282271125522,23.2282271125522,2.32282271125522,23.2282271125522,"MD"
"week_3",1,4045,91,45952,788,6.64955263059261,66.4955263059261,6.64955263059261,66.4955263059261,"MD"
"week_4",1,8936,262,45952,788,14.6898398781151,146.898398781151,14.6898398781151,146.898398781151,"MD"
"week_1",1,2900,9,45952,788,4.15675436032782,41.5675436032782,4.15675436032782,41.5675436032782,"MA"
"week_2",1,8660,56,45952,788,12.4129285380824,124.129285380824,12.4129285380824,124.129285380824,"MA"
"week_3",1,18103,260,45952,788,25.9481807534533,259.481807534533,25.9481807534533,259.481807534533,"MA"
"week_4",1,30294,844,45952,788,43.4223160661279,434.223160661279,43.4223160661279,434.223160661279,"MA"
"week_1",1,1454,18,45952,788,1.44748213270464,14.4748213270464,1.44748213270464,14.4748213270464,"MI"
"week_2",1,6803,213,45952,788,6.77250409132716,67.7250409132716,6.77250409132716,67.7250409132716,"MI"
"week_3",1,17820,793,45952,788,17.7401180225562,177.401180225562,17.7401180225562,177.401180225562,"MI"
"week_4",1,26622,1724,45952,788,26.502661167031,265.02661167031,26.502661167031,265.02661167031,"MI"
"week_1",1,234,1,45952,788,0.410477994608003,4.10477994608003,0.410477994608003,4.10477994608003,"MN"
"week_2",1,576,10,45952,788,1.01040737134278,10.1040737134278,1.01040737134278,10.1040737134278,"MN"
"week_3",1,986,30,45952,788,1.72962095163885,17.2962095163885,1.72962095163885,17.2962095163885,"MN"
"week_4",1,1621,70,45952,788,2.8435249113657,28.435249113657,2.8435249113657,28.435249113657,"MN"
"week_1",1,249,1,45952,788,0.832982075831477,8.32982075831477,0.832982075831477,8.32982075831477,"MS"
"week_2",1,847,16,45952,788,2.83347718164362,28.3347718164362,2.83347718164362,28.3347718164362,"MS"
"week_3",1,1738,51,45952,788,5.81414798311288,58.1414798311288,5.81414798311288,58.1414798311288,"MS"
"week_4",1,2942,98,45952,788,9.84190067106909,98.419006710691,9.84190067106909,98.419006710691,"MS"
"week_1",1,275,4,45952,788,0.445757763884544,4.45757763884544,0.445757763884544,4.45757763884544,"MO"
"week_2",1,1415,16,45952,788,2.29362631235138,22.9362631235138,2.29362631235138,22.9362631235138,"MO"
"week_3",1,3147,72,45952,788,5.1010897561624,51.010897561624,5.1010897561624,51.010897561624,"MO"
"week_4",1,4759,167,45952,788,7.71404072118743,77.1404072118743,7.71404072118743,77.1404072118743,"MO"
"week_1",1,34,0,45952,788,0.312856852347209,3.12856852347209,0.312856852347209,3.12856852347209,"MT"
"week_2",1,171,5,45952,788,1.5734859338639,15.734859338639,1.5734859338639,15.734859338639,"MT"
"week_3",1,299,6,45952,788,2.75129996622986,27.5129996622986,2.75129996622986,27.5129996622986,"MT"
"week_4",1,394,7,45952,788,3.62545881837648,36.2545881837648,3.62545881837648,36.2545881837648,"MT"
"week_1",1,51,0,45952,788,0.261194220949825,2.61194220949825,0.261194220949825,2.61194220949825,"NE"
"week_2",1,145,2,45952,788,0.742611020347542,7.42611020347542,0.742611020347542,7.42611020347542,"NE"
"week_3",1,417,9,45952,788,2.13564686541328,21.3564686541328,2.13564686541328,21.3564686541328,"NE"
"week_4",1,814,17,45952,788,4.16886462457172,41.6886462457172,4.16886462457172,41.6886462457172,"NE"
"week_1",1,245,4,45952,788,0.780339769490817,7.80339769490817,0.780339769490817,7.80339769490817,"NV"
"week_2",1,1012,15,45952,788,3.22328100703962,32.2328100703962,3.22328100703962,32.2328100703962,"NV"
"week_3",1,1953,46,45952,788,6.22042273394108,62.2042273394108,6.22042273394108,62.2042273394108,"NV"
"week_4",1,2990,114,45952,788,9.52333024807161,95.233302480716,9.52333024807161,95.233302480716,"NV"
"week_1",1,101,1,45952,788,0.736556387402406,7.36556387402406,0.736556387402406,7.36556387402406,"NH"
"week_2",1,314,3,45952,788,2.28988817469659,22.8988817469659,2.28988817469659,22.8988817469659,"NH"
"week_3",1,715,9,45952,788,5.21423581180911,52.1423581180911,5.21423581180911,52.1423581180911,"NH"
"week_4",1,985,23,45952,788,7.18324793654822,71.8324793654822,7.18324793654822,71.8324793654822,"NH"
"week_1",1,2844,40,45952,788,3.18242762830588,31.8242762830588,3.18242762830588,31.8242762830588,"NJ"
"week_2",1,16636,268,45952,788,18.6156350297105,186.156350297105,18.6156350297105,186.156350297105,"NJ"
"week_3",1,41090,1337,45952,788,45.9795890460931,459.795890460931,45.9795890460931,459.795890460931,"NJ"
"week_4",1,64584,3263,45952,788,72.2693058883639,722.693058883639,72.2693058883639,722.693058883639,"NJ"
"week_1",1,83,0,45952,788,0.39587148962149,3.9587148962149,0.39587148962149,3.9587148962149,"NM"
"week_2",1,237,2,45952,788,1.13038003663004,11.3038003663004,1.13038003663004,11.3038003663004,"NM"
"week_3",1,686,12,45952,788,3.27190170940171,32.7190170940171,3.27190170940171,32.7190170940171,"NM"
"week_4",1,1262,26,45952,788,6.01915445665446,60.1915445665446,6.01915445665446,60.1915445665446,"NM"
"week_1",1,20884,351,45952,788,10.7425391846256,107.425391846256,10.7425391846256,107.425391846256,"NY"
"week_2",1,66663,2278,45952,788,34.2908393825272,342.908393825272,34.2908393825272,342.908393825272,"NY"
"week_3",1,142561,7637,45952,788,73.3320785625079,733.320785625079,73.3320785625079,733.320785625079,"NY"
"week_4",1,208488,14696,45952,788,107.244326255709,1072.44326255709,107.244326255709,1072.44326255709,"NY"
"week_1",1,423,0,45952,788,0.398610536020917,3.98610536020917,0.398610536020917,3.98610536020917,"NC"
"week_2",1,1426,7,45952,788,1.34377925381992,13.4377925381992,1.34377925381992,13.4377925381992,"NC"
"week_3",1,3153,45,45952,788,2.97120335714882,29.7120335714882,2.97120335714882,29.7120335714882,"NC"
"week_4",1,5024,94,45952,788,4.73432466422952,47.3432466422952,4.73432466422952,47.3432466422952,"NC"
"week_1",1,30,0,45952,788,0.393843956398848,3.93843956398848,0.393843956398848,3.93843956398848,"ND"
"week_2",1,109,2,45952,788,1.43096637491582,14.3096637491582,1.43096637491582,14.3096637491582,"ND"
"week_3",1,225,3,45952,788,2.95382967299136,29.5382967299136,2.95382967299136,29.5382967299136,"ND"
"week_4",1,331,8,45952,788,4.34541165226729,43.4541165226729,4.34541165226729,43.4541165226729,"ND"
"week_1",1,443,16,45952,788,0.377095283550968,3.77095283550968,0.377095283550968,3.77095283550968,"OH"
"week_2",1,1933,83,45952,788,1.64542930723255,16.4542930723255,1.64542930723255,16.4542930723255,"OH"
"week_3",1,4453,210,45952,788,3.79053114594234,37.9053114594234,3.79053114594234,37.9053114594234,"OH"
"week_4",1,6975,399,45952,788,5.93733544642889,59.3733544642889,5.93733544642889,59.3733544642889,"OH"
"week_1",1,81,2,45952,788,0.204813315191762,2.04813315191762,0.204813315191762,2.04813315191762,"OK"
"week_2",1,481,16,45952,788,1.21623709391651,12.1623709391651,1.21623709391651,12.1623709391651,"OK"
"week_3",1,1329,51,45952,788,3.36045550481299,33.6045550481299,3.36045550481299,33.6045550481299,"OK"
"week_4",1,2069,99,45952,788,5.23158949545378,52.3158949545378,5.23158949545378,52.3158949545378,"OK"
"week_1",1,191,5,45952,788,0.444073582295089,4.44073582295089,0.444073582295089,4.44073582295089,"OR"
"week_2",1,606,16,45952,788,1.40894550194149,14.0894550194149,1.40894550194149,14.0894550194149,"OR"
"week_3",1,1068,27,45952,788,2.48309207272856,24.8309207272856,2.48309207272856,24.8309207272856,"OR"
"week_4",1,1584,53,45952,788,3.68278824269854,36.8278824269854,3.68278824269854,36.8278824269854,"OR"
"week_1",1,698,6,45952,788,0.544424492612752,5.44424492612752,0.544424492612752,5.44424492612752,"PA"
"week_2",1,4155,50,45952,788,3.24080768883379,32.4080768883379,3.24080768883379,32.4080768883379,"PA"
"week_3",1,13167,186,45952,788,10.2699674702466,102.699674702466,10.2699674702466,102.699674702466,"PA"
"week_4",1,24336,610,45952,788,18.9815393298337,189.815393298337,18.9815393298337,189.815393298337,"PA"
"week_1",1,106,1,45952,788,1.00363486248782,10.0363486248782,1.00363486248782,10.0363486248782,"RI"
"week_2",1,408,9,45952,788,3.86304739523614,38.6304739523614,3.86304739523614,38.6304739523614,"RI"
"week_3",1,1082,37,45952,788,10.2446502001115,102.446502001115,10.2446502001115,102.446502001115,"RI"
"week_4",1,2665,100,45952,788,25.232895363491,252.32895363491,25.232895363491,252.32895363491,"RI"
"week_1",1,298,5,45952,788,0.571966538038174,5.71966538038174,0.571966538038174,5.71966538038174,"SC"
"week_2",1,925,18,45952,788,1.77539948887688,17.7539948887688,1.77539948887688,17.7539948887688,"SC"
"week_3",1,2232,48,45952,788,4.28399098288995,42.8399098288995,4.28399098288995,42.8399098288995,"SC"
"week_4",1,3391,82,45952,788,6.50851855868271,65.0851855868271,6.50851855868271,65.0851855868271,"SC"
"week_1",1,28,1,45952,788,0.31006824823621,3.1006824823621,0.31006824823621,3.1006824823621,"SD"
"week_2",1,101,1,45952,788,1.11846046685204,11.1846046685204,1.11846046685204,11.1846046685204,"SD"
"week_3",1,288,4,45952,788,3.18927341042959,31.8927341042959,3.18927341042959,31.8927341042959,"SD"
"week_4",1,868,6,45952,788,9.61211569532251,96.1211569532251,9.61211569532251,96.1211569532251,"SD"
"week_1",1,614,2,45952,788,0.890167792279491,8.90167792279491,0.890167792279491,8.90167792279491,"TN"
"week_2",1,1917,14,45952,788,2.77923722768694,27.7923722768694,2.77923722768694,27.7923722768694,"TN"
"week_3",1,3802,65,45952,788,5.51208134567854,55.1208134567854,5.51208134567854,55.1208134567854,"TN"
"week_4",1,5610,109,45952,788,8.1332920434657,81.3329204346571,8.1332920434657,81.3329204346571,"TN"
"week_1",1,764,11,45952,788,0.259226504077813,2.59226504077813,0.259226504077813,2.59226504077813,"TX"
"week_2",1,3173,65,45952,788,1.0766043160195,10.766043160195,1.0766043160195,10.766043160195,"TX"
"week_3",1,8108,206,45952,788,2.75105823961113,27.5105823961113,2.75105823961113,27.5105823961113,"TX"
"week_4",1,14328,383,45952,788,4.86151485657971,48.6151485657971,4.86151485657971,48.6151485657971,"TX"
"week_1",1,257,1,45952,788,0.783031673174158,7.83031673174158,0.783031673174158,7.83031673174158,"UT"
"week_2",1,798,4,45952,788,2.43135904744349,24.3135904744349,2.43135904744349,24.3135904744349,"UT"
"week_3",1,1678,13,45952,788,5.11255699449897,51.1255699449897,5.11255699449897,51.1255699449897,"UT"
"week_4",1,2363,13,45952,788,7.19962585101375,71.9962585101375,7.19962585101375,71.9962585101375,"UT"
"week_1",1,75,5,45952,788,1.19415152349851,11.9415152349851,1.19415152349851,11.9415152349851,"VT"
"week_2",1,256,12,45952,788,4.07603720020826,40.7603720020826,4.07603720020826,40.7603720020826,"VT"
"week_3",1,543,23,45952,788,8.64565703012924,86.4565703012924,8.64565703012924,86.4565703012924,"VT"
"week_4",1,748,28,45952,788,11.9096711943585,119.096711943585,11.9096711943585,119.096711943585,"VT"
"week_1",1,254,6,45952,788,0.294451547476197,2.94451547476197,0.294451547476197,2.94451547476197,"VA"
"week_2",1,1020,15,45952,788,1.18244322214851,11.8244322214851,1.18244322214851,11.8244322214851,"VA"
"week_3",1,2878,66,45952,788,3.33634469935628,33.3634469935628,3.33634469935628,33.3634469935628,"VA"
"week_4",1,5747,149,45952,788,6.66225607616418,66.6225607616418,6.66225607616418,66.6225607616418,"VA"
"week_1",1,2221,109,45952,788,2.84849677989046,28.4849677989046,2.84849677989046,28.4849677989046,"WA"
"week_2",1,4923,205,45952,788,6.31388998081978,63.1388998081978,6.31388998081978,63.1388998081978,"WA"
"week_3",1,8311,450,45952,788,10.6590980358711,106.590980358711,10.6590980358711,106.590980358711,"WA"
"week_4",1,10635,582,45952,788,13.639695296774,136.39695296774,13.639695296774,136.39695296774,"WA"
"week_1",1,16,0,45952,788,0.089985208681323,0.89985208681323,0.089985208681323,0.89985208681323,"WV"
"week_2",1,145,1,45952,788,0.81549095367449,8.1549095367449,0.81549095367449,8.1549095367449,"WV"
"week_3",1,345,4,45952,788,1.94030606219103,19.4030606219103,1.94030606219103,19.4030606219103,"WV"
"week_4",1,611,8,45952,788,3.43631015651802,34.3631015651802,3.43631015651802,34.3631015651802,"WV"
"week_1",1,425,4,45952,788,0.72627796725563,7.2627796725563,0.72627796725563,7.2627796725563,"WI"
"week_2",1,1230,35,45952,788,2.10193388170453,21.0193388170453,2.10193388170453,21.0193388170453,"WI"
